,From,To,Time (min)
75449,Waterboro,Hono,706
75450,Basin,Guatay,397
75451,Kelly Usa,Islandia,513
75452,Maumelle,Joubert,888
75453,Limby,West Viola,143
75454,Forest Knolls,Shannon,149
75455,Goldthwaite,Rainbow City,398
75456,Pocahontas,Polacca,717
75457,English,Patsville,61
75458,West Milford,Davisburg,621
75459,Woodbine,Medenales,370
75460,Cragford,Charlemont,703
75461,Portal,Yellow House,701
75462,Malvern,Beemerville,405
75463,Yeager,Navelencia,339
75464,Caliente,El Centro,897
75465,Bingham Lake,Meadow Gap,985
75466,Arroyo Grande,Medalanes,357
75467,Hoffmeister,Parrish,203
75468,Preston,San Jose,566
75469,Newfoundland,Newbury Park,45
75470,Charlottesvile Brm,Plainfield,663
75471,Canaveral As,Amantha,344
75472,Brookhaven,Lava Hot Spgs,957
75473,Charbonneau,Plainwell,299
75474,Dyess AFB,Kershaw,237
75475,Raysville,Sterling,625
75476,Hauser,Lollie,495
75477,Patton,Wheelwright,11
75478,Pine Hall,Jeddo,781
75479,Galaxy,Skyland,985
75480,Aquilla,Goulds,128
75481,S Connelsvl,Saul,490
75482,Farmdale,Burton,930
75483,Mokelumne Hl,Layland,365
75484,Stanfield,Kearney,861
75485,Cloverport,Farmington,202
75486,Troy,Dalby,970
75487,Stevenson,Bloomington,999
75488,Amherst,Wachovia Bnk,701
75489,Bowman Gray School Of Med,Starrville,342
75490,Kill Devil Hills,Marsh Inc,145
75491,Linthicum Hts,Megargel,555
75492,Cloverleaf,Alpine,712
75493,Canyon Crest,Parshall,619
75494,Garden Hill,Madisonburg,432
75495,Valle Encantado,Washington Dc Brm,685
75496,Underhill,Thornburg,638
75497,Seattle,Mercerville,274
75498,Cynwyd,Centennial,911
75499,Mont Pk,Manhattan Beach,414
75500,Plantation,Kinder,776
75501,Bayport,Pattersonvle,702
75502,Centennial,Tyner,908
75503,South Windham,Kreutz Creek,177
75504,Alma Center,Urbana,679
75505,Westfield,Newark,934
75506,Ascutney,Lincoln Cntr,680
75507,North Canaan,Gautier,326
75508,Gepp,De Tour Village,640
75509,Cynthiana,Vernal,611
75510,Padroni,Nordman,109
75511,Bowman,North Haverhill,276
75512,Sias,Ext Villa Del Carmen,148
75513,North Lancaster,Danbury,67
75514,Roslyn,Glen Rogers,449
75515,Cumberland College,Graceland Heights,533
75516,First View,Monterey,886
75517,Chappell,Russellville,384
75518,Emporium,Chastang,21
75519,Hubert,Raytown,686
75520,Dorchester,Scottsdale,254
75521,Kego,Kingqueen Court House,796
75522,Park Hills,Marshalls Creek,705
75523,Benchland,Meroa,408
75524,Lynchburg,Pt Pleasant Beach,857
75525,Echols,Middle City East,69
75526,Cobden,Marston,830
75527,Farmersville,Drew Plt,265
75528,Roanoke Rapid,Dowling,390
75529,Noel,Jackson,980
75530,Suburban Heights,Garden City,417
75531,Plantersville,Lewis,370
75532,Knox,Atkins,874
75533,Trail,Washington,122
75534,Gatchellville,Suring,616
75535,Hotevilla,Long Island City,128
75536,Alvin,Yorktown,964
75537,Martell,Camas,195
75538,Mastersonville,Wabash,437
75539,Dallas City Water Dept,Univ Of North Ala,214
75540,Lunenburg,Soudan,840
75541,Chandler Park,Halland,253
75542,Prairie,Fargo,836
75543,Treichlers,Thornton,17
75544,Army Finance Center,Brownwood,867
75545,Splane Place,Villa Grillasca,808
75546,Nineteen,Vallecitos,674
75547,College Heights,Rural Valley,630
75548,Avenel,Ephrata,56
75549,Lostine,Sheridan,699
75550,Barnardsville,Malta,682
75551,Mar,Venetia,13
75552,Hiles,Kingston,512
75553,Calvert,New Bloomfld,87
75554,Monsey,Berryville,533
75555,Cleveld,Lexmark,376
75556,Titusville,Springdale,217
75557,Montclair,Mill Hall,656
75558,Jay City,Bangs,250
75559,Clayton,Battlement Mesa,859
75560,Calais,Carmel By The,42
75561,Millerville,Mitchell Field,699
75562,Loag,Skwentna,486
75563,Redford Twp,Kelleys Island,368
75564,Troutdale,Coveyville,382
75565,Washburn,Sanator,664
75566,Alta Loma,Hoffman,546
75567,Mc David,Perry Point,549
75568,Otter Creek,West Deerfield,496
75569,Tensas Bluff,Tylertown,936
75570,Town N Country,Hennepin,732
75571,Prescott,Cooperville,318
75572,Pascagoula,Needham Heights,982
75573,Art,Sebasco Ests,515
75574,Santo,Rock Island,830
75575,Berlin Township,Hines,438
75576,Chaffee,Lebanon Jct,455
75577,South Newbury,Wynnburg,783
75578,Upper Holland,Belvidere,906
75579,Adona,Maryknoll,670
75580,Pascagoula,Keelers Bay,687
75581,Martins Additions,W Colls Hgts,17
75582,Ancora,Eagle Harbor,117
75583,Mountain Park,Mcnett,725
75584,Crystal Spring,Lenox,618
75585,Silk Hope,Villas De Gurabo,279
75586,Brlngton Jctn,Nc State University,417
75587,Severance,Citibank,953
75588,Barr,Noma,683
75589,Veterans Hospital,Grosse Pointe Park,514
75590,New Sweden,Meally,939
75591,Shawnee Mission,Hammonton,338
75592,Macungie,Middlegrove,458
75593,Stony Brook,Silver Cliff,647
75594,Anderson,Crystal Hill,867
75595,Butterfield,West Columbia,360
75596,Hillsville,Grant,206
75597,Hunter,Rich,551
75598,URB Bonneville Gdns,Oakryn,71
75599,Aylmer,Cedar,541
75600,Sutton,Flag Center,893
75601,Rock Springs,Estaca,503
75602,Las Cruces,Cambria,113
75603,Virginia City,Bayport,218
75604,Toledo,Mutual,235
75605,New Harmony,N Pembroke,726
75606,First Tenn National Bank,Plainview,453
75607,North Providence,Palm Springs,611
75608,Coal City,Fosterville,235
75609,St Catharine,Ortonville,419
75610,Fonda,Denholm,419
75611,URB Santa Maria,Leggett,514
75612,Fieldale,Monroe,418
75613,Mount Sidney,Steam Corners,692
75614,URB Arbolada,Eshcol,955
75615,Twin Lakes,Branford,276
75616,Moultonboro,Lloyd,34
75617,Hartsel,Brownwood,546
75618,Helena,Mt Enterprise,855
75619,Broken Arrow,War,492
75620,Waterford,Rock Cave,573
75621,Castleton On Hudson,Villa Grillasca,415
75622,Prairie Home,Valmy,493
75623,Prairie Creek,Concord,883
75624,Delano,Ross,872
75625,Bailey Island,Post Lake,585
75626,Seymour Johnson AFB,Singleton,818
75627,Tarrytown,Saint Peter,639
75628,Toponas,Biddle,413
75629,Reardan,Asm International,95
75630,Stantonville,Mount Pleasant,74
75631,Canterbury,Homer,801
75632,Parc Calderonas Nuevas,Salunga,497
75633,Port Wentworth,Fairfax County Government,167
75634,Marstons Mills,Great Lakes,578
75635,Grandview,Dyess,896
75636,La Feria,Shuqualak,275
75637,Plevna,Mattydale,469
75638,New Holland Crossroads,El Cerrito,160
75639,Dickinson,West Tuckerton,793
75640,Wilderness Village,Columbus,111
75641,Brownfield,Johannesburg,262
75642,Rockville,Glenview,857
75643,Taycheedah,Willow Brook,613
75644,Russell,Buzzards Bay,90
75645,Tenants Hbr,Ca State Univ Northridge,985
75646,Hollister,Star,142
75647,Supply,Vincent,6
75648,Santa Rita,Cosmo,73
75649,Lucky Losers,Queenstown,376
75650,County Line,Fishing Creek,533
75651,Big Otter,URB Dos Pinos Townhouse,6
75652,Varney,Russell,917
75653,Buckhead,Westport,694
75654,Kings Mountain,Cyrus,798
75655,Valley Ford,Sahuarita,159
75656,Armstrong Mls,Motley,407
75657,Beverly,Honey Grove,927
75658,Union Lake,Sulphur Springs,785
75659,Ballard,Ontonagon,446
75660,Lk Santeetlah,Hickory Grove,222
75661,Lago,Green,290
75662,Tazewell,Middleton,898
75663,Stockport,Dedham,496
75664,Point O Woods,Curtisville,342
75665,Ladies Island,Liberty Center,687
75666,Brooklyn Park,Udall,382
75667,Shive,Cable,805
75668,Felch,Raymer,544
75669,Fulton Acres,Mt Penn,974
75670,Princeville,Waldron,560
75671,Idaho State House,Haswell,133
75672,Pittsford,Arapahoe County Offices,357
75673,Atlantic Beach,Gate,575
75674,Mooar,Van Hornesville,732
75675,Cross Anchor,Hays Grove,172
75676,Trenton,Avon Heights,716
75677,Moosic,Dannelly,9
75678,Lake Huntington,Chassell,759
75679,Aarp,Dysart,265
75680,Brownton,Delavan,706
75681,Plymouth,Ely Colony,956
75682,Saxton,Anamosa,98
75683,Cromona,Fiddletown,255
75684,St Clrsville,Mount Vernon,730
75685,Fritch,Nc Natl Bank,211
75686,Vilas,Sect Campobello,598
75687,Chimney Rock,Burney,936
75688,Manderson,Palo Alto,178
75689,Bayview,Vashon Island,23
75690,Country Park Acres,Ocean City,842
75691,Loch Arbour,Chili,868
75692,Robbins,Hibernia Natl Bank,714
75693,Dott,Toms Place,75
75694,Yeaddiss,Farm Ridge,603
75695,Woodlawn,Bluff Dale,750
75696,Nashville,Overton Beach,770
75697,Indn Hbr Bch,Park Place,6
75698,Bok Mail Service,Cooks,665
75699,Morrison,Shirkleville,260
75700,Whitehouse,Gregg,434
75701,Bonsack,Modena,178
75702,Buckhorn,Wainwright,459
75703,Milam,Santa Monica,427
75704,Lynch,Porterdale,414
75705,Fort Drum,Fancy Farm,989
75706,Magnolia Spgs,URB Islabella,216
75707,Jennerstown,Needham,602
75708,Glendo,Elrama,375
75709,Bridgeland,Swinney Switch,581
75710,District Hts,Sugar Creek,482
75711,Willow Island,Enoree,992
75712,Francesville,Preston,428
75713,Lewis,Hills Flat,561
75714,Singersville,Park Valley,692
75715,No Palm Springs,Nikolski,149
75716,Champions Gate,Old Mill Creek,862
75717,Sedges Garden,Merigold,155
75718,Toast,Allen,245
75719,Wonnie,Mid Hudson,114
75720,Sheshebee,Bradley Quarters,586
75721,East Brooklyn,Woodford,113
75722,Franconia,Xenia,238
75723,Sadsburyville,E Fayetteville,984
75724,Happy Valley,Rose,881
75725,Midline,Cross Roads,707
75726,Reynolds Sta,Battleboro,59
75727,Alderson,Northboro,765
75728,Beaver Sprgs,Pauline,393
75729,Joliett,Rolla,198
75730,Hogarty,Nebo,226
75731,Coalfield,Glen Oaks,643
75732,Smithville Center,Hammond,450
75733,Reminderville,Arch Cape,958
75734,Lake Ronkonkoma Heights,Wms College,606
75735,Pines,Milan,21
75736,Crane Nav Dpt,Tekoa,450
75737,Durham,Barlow,684
75738,Rocky River,Holbrook,57
75739,Salipta,Belle Terre,92
75740,College Square,Lewisetta,170
75741,Lowry,So Yarmouth,855
75742,Trenton,Mckittrick,675
75743,Sunbury,Carolina Forest,964
75744,New Rome,Lake George,862
75745,Washingtonvle,Burlingame,560
75746,Grosse Pointe,Skanee,27
75747,Deseret,South Nyack,901
75748,Blades,Benton,851
75749,La St Univ,Crossgate,562
75750,Mazama,North Glenn,959
75751,Cresskill,Institute,351
75752,Clayton,Hickory,908
75753,Amelia Ind Park,Bellevue,622
75754,E Ellsworth,Winhall,413
75755,Elmore,Sugarloaf Key,21
75756,Little Rock AFB,Palmer,751
75757,Tatamy Borough,Marcellus,968
75758,East Jewett,Fresno Cnty Social Svc Dept,119
75759,Tripler Army Med Ctr,Springfield,853
75760,Mc Chord AFB,Plainview,661
75761,Botsford,Van Buren Bay,807
75762,Frisco,Manchaug,606
75763,Mcconnell,Holland,780
75764,E Lewisburg,Pedigo,715
75765,Hazelton,Oroville,907
75766,Truro,Federal Express,217
75767,Yeagertwn,Pleasant Gap,211
75768,Alhambra,Vado,536
75769,Modena,Ny State Campus,709
75770,Gpo Field Serv Div,Leisenring,776
75771,Tryon,East Muncy,825
75772,Hamilton Grange,East Oakfield,900
75773,Va Hospital,Amf/jfk Incoming Express Mai,886
75774,Windyville,La Place,801
75775,N Richland Hills,Houstonia,172
75776,Wilderness Village,N Uxbridge,329
75777,Pencil Bluff,Webster,620
75778,Lava Hot Springs,Repto San Jose,772
75779,Grasston,Rolling Pr,658
75780,Almond,Naval Supply Ctr,793
75781,Troutville,Indianola,317
75782,Stack Town,Carmel Valley Village,219
75783,Bo Calzada,Beebe,708
75784,URB Santa Clara,Clarkston,324
75785,Hornbrook,Welch,268
75786,Natural Bridge,Jard De Loiza,378
75787,North Highlands,Boulder City,621
75788,Saint James,Gpt,204
75789,Westville,Lake Noji,543
75790,Hickory Grove,Parkman,666
75791,Bloomingdale,Hamtown,308
75792,Glasgow,Hacker Valley,863
75793,Columbia City,Osbornville,381
75794,Willisville,Dawson,318
75795,Ldhl,Hardwich,432
75796,Southill,URB Chinto Rodon,553
75797,Hollins,Rosemary Beach,651
75798,Grassy Mdws,Rock Stream,485
75799,Mamaroneck,Newark Valley,510
75800,Stratford,Carolina,323
75801,Big Canoe,Sheffield,816
75802,Fleetwood,Sile,899
75803,Cove,Frogmore,571
75804,Brinkhaven,Blue Level,779
75805,Lafontaine,Dewar,856
75806,Prosperity,Warren,520
75807,Symbol,Doty,751
75808,Morea,Brownstown,708
75809,Shadle Garland,Troutville,386
75810,Carlisle Barracks,Locust Grove,981
75811,Middlesex,Cayuga,974
75812,Point Aux Pin,Vernon,20
75813,Booth,Webster,650
75814,Pineville,Sherman Vlg,315
75815,Rockville Centre,Wlmg,912
75816,Colvin,Egg Hbr Twp,47
75817,Baileyton,Butler,195
75818,Maine Maritime Academy,Pine Bluffs,906
75819,Glen Rdl Lima,Hoffman Estates,551
75820,Turnerville,Winchester,284
75821,Windy Hills,Granbury,374
75822,Deer Park,Indian Village,754
75823,Somers,Dayton Courtesy Reply Mail,389
75824,Maquoketa,Scottville,782
75825,Gillisonville,D Hanis,512
75826,K C,Gravette,899
75827,Vandalia,Meridian,434
75828,Mendoza,Univ Of Arizona,196
75829,Octavia,Nursery,172
75830,Macomb,Bass,538
75831,Whiteface,Frye,807
75832,Walters,Hibernia Natl Bank,359
75833,Flint,Jeffersonvlle,219
75834,Pioneer,Parq Las Haciendas,666
75835,Westfield,Calhoun,733
75836,Willis,Cherry Lane,470
75837,Little Blue,Palmer Park,259
75838,Central Me Power Co,Largo,665
75839,Mission Hill,University Of Tn,857
75840,Doskie,Christnsbrg,969
75841,Millsaps College,Shidler,635
75842,Stewartsville,Pablo,738
75843,Hemingford,Office Of Naval Research,766
75844,Millboro,Saint James,153
75845,Big Stone Gap,Guatay,994
75846,Htfd,Centerville,137
75847,Bryantsville,Monroeville,905
75848,Panther Forest,Northgate,465
75849,Mineral,W Friendship,964
75850,Ext Villa Del Carmen,Mequon,283
75851,Smithland,Williford,339
75852,Louisville,Duncombe,309
75853,West Glover,Hammond,558
75854,Rossville,Mayport Naval Station,83
75855,Pelican,Goodview,621
75856,Garceno,Angle,402
75857,Indian Trl,Huntsburg,277
75858,Alfa Ins Co,Roselle,132
75859,Bouton,Lake Viking,576
75860,Ferdinand,Hollywood,899
75861,URB Victoria Hts,Moselle,674
75862,Caryng Pl Twp,Folsom,961
75863,Mooresboro,Edison,258
75864,Dickert,South Lake Tahoe,418
75865,Allendale,Cheyney,681
75866,North Caldwell,Raft River,22
75867,Wisacky,Tilmon,392
75868,Clarendon,Gothenburg,648
75869,Venice,Bloomfield,419
75870,Ellendale,Snyder,9
75871,Chireno,Usps Offical Mail,430
75872,Brownfield,Ciudad Primavera,383
75873,Littleton,Birdville,475
75874,Villa Lucia,Mill Creek,422
75875,Blundale,Alkol,150
75876,Scranton,Elberon Park,605
75877,Churchill,Medina,642
75878,East Olympia,South Glastonbury,255
75879,Sun Trust Bank,Tomahawk,538
75880,Chamois,Gunter,917
75881,Westpoint,Stephenville,210
75882,Ft Myers,Freeman,855
75883,Metropolis,Clingman,413
75884,Elco,Canutillo,968
75885,Madisonburg,Davisboro,856
75886,Fort Deposit,Fort Collins,967
75887,Palermo,Mogote,306
75888,Carencro,Cains Store,959
75889,Hanover,Eoline,346
75890,Saint Marks,Bradyville,199
75891,Mesa Vista,Grovania,131
75892,Bryantsville,Passadumkeag,260
75893,Sharon,Geneva,65
75894,Lyerly,Bozoo,75
75895,Wayne,Macon,489
75896,Burlington Township,Loxahatchee,563
75897,Louisville,Temple,942
75898,West Jefferson,Topaz,514
75899,Alta Vista,Big Lake,734
75900,Success,Perlee,346
75901,Macwahoc Plt,Denver,330
75902,Waldron,Bailey,477
75903,Jessie,Paseo Los Corales,38
75904,Pinetop,Stack Town,985
75905,URB Town Pk,Wagon Wheel Gap,392
75906,Hi Rls Mtn Pk,Sawyerville,379
75907,Medical Spgs,Rio Verde,681
75908,Ext Villa Marina,Lake City,463
75909,Shaker Heights,Dwiggins,757
75910,Pomona,Otter Rock,840
75911,Forbes,Sewell,270
75912,Nyack,Bartlett,853
75913,Unionville,S Chittenden,154
75914,Flag Center,Industry,167
75915,Florissant Fossil Beds Natio,Hudson,824
75916,Pine Level,Ext Roosevelt,595
75917,Trout River,Colbert,674
75918,Ft Meade,Nas Miramar,741
75919,Perry,S Burlington,975
75920,Madelia,Tracy Creek,613
75921,Balm,Terrs De Tintillo,512
75922,Harrison,Molson,12
75923,West Halifax,Essary Springs,759
75924,Georgetown,URB Cerromonte,748
75925,Ore Valley,Meppen,141
75926,Hallowell,Uscgs,780
75927,URB Treasure Vly,Flushing,474
75928,Cogswell,Yale,965
75929,Chatt,Chubbuck,164
75930,Miami,Grant Road Addition,238
75931,Glade Hill,Good Hart,578
75932,Bo Tortugo,Sutton,305
75933,East Custer,Haledon,161
75934,Los Padillas,Maywood Pk,5
75935,Thornton,Mercer University,463
75936,San Leandro,Grice,302
75937,Sunnyburn,Harvard,250
75938,Diana,Dunnegan,895
75939,Chimney Rock,Ramsey,288
75940,Mathias,Centertown,698
75941,Shallotte,Silverhill,116
75942,Blackstone,Guthrie,781
75943,Del Norte,Cedar Beach,742
75944,South Sterling,Ellis,468
75945,Oraibi,Penfld,593
75946,Kearneysville,University Park,172
75947,Williston,East Concord,811
75948,Southtown,Enterprise,900
75949,Sublette,Wheatland,313
75950,Arab,Big Pine,855
75951,Caledonia,Meriden,439
75952,Sylvester,Mabel,575
75953,Charles Park,Maxwell AFB,867
75954,Trimble,Charlotte,444
75955,Norristown,Roseville,183
75956,Griffith,Kenseh,312
75957,Mankato,Stetsonville,831
75958,Fly,Wheatland,251
75959,Yosemite,E Williston,504
75960,Wilsondale,Vermillion Acres,671
75961,State Rev Box 3547,Devol,976
75962,Bo Rio Hondo,Romeo,869
75963,Duncan,Cassel,772
75964,Coleman,Ft Totten,932
75965,Wyatt,Gibbon Glade,37
75966,Lynchburg,Hayden,627
75967,Lookout,E Liverpool,533
75968,Greycliff,Ruffs Dale,881
75969,Jamestown,Washington Dc Brm,503
75970,URB San Francisco,Wonewoc,342
75971,Saratoga Springs,Boulder City,952
75972,Anthony,Mullan,737
75973,Parc Hill Brothers,Youngstown,76
75974,Fayette,Pink,828
75975,Tazewell,Mount Auburn,369
75976,Flat Creek,Camp Grayling,950
75977,Granby,Lincoln,731
75978,Dillsboro,Stanton,340
75979,Willowbrook,Steamboat,546
75980,Koror,Oxford,182
75981,Franklin,Sanator,554
75982,Tri Cities,Tingley,680
75983,Duff,Rexford,698
75984,Cherry Valley,Rowena,71
75985,New Leaksville,New Manchester,563
75986,Pony,Suncadia,696
75987,Haines,Arkoma,280
75988,Sterling,Ridgeville Corners,772
75989,Jericho,Stewards Mill,226
75990,URB Montemar,Clear Creek,709
75991,Russels Point,New Haven,536
75992,Hampton,Soldier Grove,517
75993,Florence,Violet,678
75994,West Halifax,Mcdonaldsville,699
75995,Greenwood,Blanton,784
75996,Fall Branch,N Miami Beach,914
75997,Chestnut Hill,Dpo,99
75998,Maytown,Hamilton,510
75999,Kennedy Shores,Greenwood,686
76000,Windfall,W Atlee Burpee Co,416
76001,Meppen,Chester,961
76002,Elk Horn,Skunkhollow,53
76003,Chimney Rock,Carlos City,903
76004,Fort Buchanan,North Hyde Park,109
76005,Sea Bright,Rocky Hill,905
76006,Fredonia,Rawls Springs,66
76007,Newbury,South Owego,133
76008,Malaga,Brandywine,256
76009,Burningtown,Sugarcreek Township,241
76010,Granite Canon,Bamford,417
76011,North Blenheim,Gray,211
76012,Rome,Evanston,397
76013,Sunflower,New Edinburg,338
76014,Navarino,Bronte,223
76015,Mans De San German,Spring Hill,807
76016,North Leverett,Tx State Prison,29
76017,Elk Horn,Pebble,26
76018,Saukville,Catharine,556
76019,Orchard Heights,Union Bridge,256
76020,Mcgrady,University,395
76021,Rabbit Hash,Rockwall,849
76022,Alt De Villa Fontana,Krakow,831
76023,Honeyford,East Watertown,692
76024,Kantner,Covington Twp,364
76025,Los Saenz,Point Pleasant Beach,47
76026,Rouse,Mount Dora,615
76027,Aguilar,Boyertown,546
76028,Long Beach,Fairmount Spr,735
76029,Riverwatch,Lowden,912
76030,Kualapuu,Midpines,539
76031,Southport,Gladstone,943
76032,Rosedale,Notre Dame,167
76033,Jasper,Laubachs,920
76034,Hecker,Montgomery Cnty Admnstrv,386
76035,Flournoy,Alvord,745
76036,Bow Mar,Oxford,258
76037,Frk Of Salmon,Grandin,30
76038,Rocky Mountain National Park,Ogelthorpe,581
76039,Gordonsville,East Highgate,106
76040,Haugan,Home Shopping Network,492
76041,Watauga,Otterville,703
76042,Grandview Heights,Jackson,654
76043,Clear Creek,Corona,798
76044,Big Pine,Atkins,860
76045,Mount Clemens,Cobden,802
76046,Blairsburg,Villas Del Laurel 1,361
76047,Gallatin Gateway,Millinocket,331
76048,Altamont,Marlow,753
76049,Northampton,Proctor,235
76050,Bay Port,Castle Shannon,802
76051,Fairplay,Durham,712
76052,Red Boiling Springs,Bowyer,506
76053,Ruthville,Carlton,318
76054,Bonlee,Elkin,300
76055,Cascade,White Bear Lake,453
76056,Inglesmith,Holland,307
76057,Brighton,Rivervale,682
76058,Bo Caracoles,Shared Firm Zip Code,101
76059,Garrisonville,Liberty Highlands,253
76060,Scottdale,Metrocenter,402
76061,Pierre Part,Kerr,114
76062,Owensville,Domino,30
76063,Parq Del Monte,Willow City,939
76064,West St Paul,Peter Stuyvesant,777
76065,Fitler,Security,474
76066,Lancer,Bordertown,677
76067,Daleville,Johns Creek,972
76068,Evansville,Leicester,667
76069,Byars,Java,71
76070,Mcallister,Rogers,375
76071,Morsemere,Pilsen,380
76072,Villas Doradas,Alviso,949
76073,Allendale,Mans San Rafael,512
76074,New Bloomfield,Hoven,432
76075,Melcher Dallas,Lomita,742
76076,Burghill,Pageville,318
76077,Yeowardville,Rosecrans,697
76078,Concho,Townsville,786
76079,Milledgeville,Montpelier,295
76080,Sabana Seca,Water Valley,950
76081,Loyalsockvle,Creston,95
76082,La Grande,Hazel Crest,769
76083,Equality,Jefferson City,201
76084,Poolville,Mccutchanville,154
76085,Silvana,New Richmond,793
76086,Sasser,Gurdon,39
76087,Tangent,Arkport,911
76088,Lucerne Valley,White Mountain Lake,476
76089,Fort Dix,Danforth,380
76090,Butterfly,Centennial,708
76091,Ester,Eastside,393
76092,Littlevine,Mount Clare,344
76093,Berrytown,York,563
76094,Salina,Tahuya,121
76095,Center Mills,Crosby,393
76096,Point Pleasant Beach,Erie,444
76097,Grandin,Axton,446
76098,Rushville,Ny Standards And Purc,813
76099,Concord Twp,Merrow,736
76100,Curtis,Lillydale,654
76101,Prairie View,Accomac,59
76102,Denver,Smokerun,895
76103,Benson,Stockbridge,456
76104,Terrs De Tintillo,Kortcamp,322
76105,Santa Elena,Rich Hill,442
76106,Pompton Junction,Townville,558
76107,Myrtle,Hidden Timber,527
76108,Pleasant Mills,Greenwood,302
76109,Gibsonburg,Seale,69
76110,Glocester,Fries,128
76111,Royal,Marble Cliff,687
76112,Bangor,Pleasant View,707
76113,Washingtonvle,Neversink,321
76114,Minor Hill,Charlottesville,844
76115,Black Walnut,Newtown,695
76116,Chestnut Hill,Somerville,266
76117,Oak Creek,North Lauderdale,974
76118,Head Waters,West Fort Ann,972
76119,Quality,Cicero,509
76120,Rhinelander,Murphys Camp,701
76121,Colgate,Steele,628
76122,Mans De San German,Marshlands,564
76123,Ashburn Park,Toto,753
76124,Steep Falls,Bodega,857
76125,Hubert,Jamestown,123
76126,Crawford,Lavista,332
76127,Witts Springs,Cruger,671
76128,Littleville,Cornwall Boro,151
76129,Garvin,Kyle,447
76130,Vaughan,Liberty,166
76131,Binghampton,Picabo,102
76132,Lackawaxen,Olanta,745
76133,Roseboro,New Clarkson,973
76134,Jc Penney Co,Moylan,429
76135,Underhill,Dunham Hollow,552
76136,Bethcar,Taunton,844
76137,Fruitland,Lawton,567
76138,Chamnesstown,Shafter,876
76139,Corinth,Oxford,517
76140,Pelican Island,Strawberry Pt,131
76141,West Arlingtn,Elk Mills,769
76142,Portal Del Valle,Voss,424
76143,Bo Montellano,Lakeside,972
76144,Rochester,Lebanon Spg,741
76145,Green Pond,Af Acctg & Finance Ctr,460
76146,Toccopola,Newfoundland,793
76147,Mans Del Sur,Villa Karen,609
76148,Lakeland Shrs,Headland,107
76149,Northgate,Ridgefield Park,270
76150,Huntly,Maquon,410
76151,Barrio Obrero,Holliston,764
76152,West Brunswick,Burnwell,673
76153,Astor,Helena,6
76154,East Dover,Middletown,755
76155,Hopeland,Chadbourn,891
76156,Wild Rice,Curtis,382
76157,Manila,URB Camino Del Monte,20
76158,Camden On Gauley,East Blackstone,590
76159,Westbrookfield,Colfax,199
76160,West Glens Falls,Bo Volcan Arenas,399
76161,Shakopee,Washington Park,664
76162,Roaring Brnch,West Palm Bch,85
76163,Petrified For,Okauchee,740
76164,URB Coqui Gdns,Monroe,142
76165,Mcclellanville,Boyer,226
76166,Lawtell,Nw Cumb,59
76167,Allied Group,Blanford,964
76168,Rivermines,Cairo,453
76169,Northampton,Trilby,390
76170,Olalla Valley,Gaylord,180
76171,Lulaton,Hughestown,908
76172,Red Fork,Wellington,778
76173,Pittman Center,Evadale,985
76174,Westport,Seven Oaks,48
76175,Gallatin,Kaibeto,706
76176,Hamilton,South Texarkana,89
76177,St Paul,Connoquenessing,741
76178,Crumrod,Evans,603
76179,Statenville,Highland Park,853
76180,Metropolis,Ft Stanton,736
76181,Carmi,Rumney,644
76182,White Pigeon,Virner,889
76183,Buffalo Gap,Perry,339
76184,Marble Hill,Jacksonburg,58
76185,Wyoming,Kenton,75
76186,Wycombe,Cominto,540
76187,Lake Clarke,Rantoul,587
76188,Gilbertville,Dudley,67
76189,Northbridge,City Industry,88
76190,Farmersville,Fort Salonga,661
76191,Barnegat Lgt,Prairie Dog,410
76192,Crossroads,White Center,858
76193,Pitner Junction,Lassellsville,53
76194,Gowanda,Benton,448
76195,Gautier,Alinda,838
76196,Lower Presto,Canisteo,693
76197,Grammer,Pine Hall,130
76198,Lyle,Cygnet,291
76199,Grafton,Barnesville,380
76200,Dumas,Cario,6
76201,Moundsview,Hazelton,610
76202,Charles Town,Ext Colinas Verde,832
76203,Carleton,Kissimmee,928
76204,Lawrenceville,Dividing Creek,807
76205,Buffalo,Grandfather,508
76206,Calypso,Kensington,276
76207,Abbott,Ruby,699
76208,White Sheild,No Providence,258
76209,Bethpage,Sherrard,460
76210,Turkey,Carson,176
76211,Ohley,Enetai,672
76212,Taylorsville,Altus AFB,369
76213,Cantril,J P Morgan,590
76214,Sugar Grove,Crooks,11
76215,Newburg,Mount Aukum,309
76216,Pta De Tierra,Bo Guavate,375
76217,Bo Pueblito Nuevo,Maurertown,103
76218,Villa Victoria,Lowman,515
76219,Quantico,Polonia,347
76220,Turney,Lodi Township,66
76221,North Ridgeville,Claymont,608
76222,Clay,Hillpoint,373
76223,Montserrat,Podunk,364
76224,Bryant,Worth,730
76225,Kingdom City,Abington,364
76226,Center Harbor,Lane,195
76227,Fillmore,Dayville,882
76228,Lewes Beach,Univ Of Miami,991
76229,Smithfield,Phillipstown,444
76230,Beaver Sprgs,Arcola,279
76231,Foneswood,Roslyn,400
76232,Gordons,Twin Groves,264
76233,Thurman,Spivey,447
76234,Kokomo,Sweetwater,210
76235,Jamaica,Orchid,768
76236,Navajo State Park,Bartonia,133
76237,West Lebanon,Lionshead Lake,116
76238,Boston,Cowlic,137
76239,West Augusta,Pascagoula,53
76240,Devils Tower,Londonderry,340
76241,Cedar,Firebaugh,867
76242,Percival,Manokotak,407
